"","subject","activity","variable","value"
"32",1,"WALKING","meantBodyAccelerometerMagnitudeStdev",-0.497096402038329
"33",1,"WALKING","meantGravityAccelerometerMagnitudeMean",-0.453632943768818
"34",1,"WALKING","meantGravityAccelerometerMagnitudeStdev",-0.497096402038329
"35",1,"WALKING","meantBodyAccelerometerJerkMagnitudeMean",-0.545431612066571
"36",1,"WALKING","meantBodyAccelerometerJerkMagnitudeStdev",-0.515922167555159
"37",1,"WALKING","meantBodyGyroscopeMagnitudeMean",-0.475404785802305
"38",1,"WALKING","meantBodyGyroscopeMagnitudeStdev",-0.499839593745821
"39",1,"WALKING","meantBodyGyroscopeJerkMagnitudeMean",-0.639517432642651
"40",1,"WALKING","meantBodyGyroscopeJerkMagnitudeStdev",-0.652050770910663
"41",1,"WALKING","meanfBodyAccelerometerMeanX",-0.531895161258213
"42",1,"WALKING","meanfBodyAccelerometerMeanY",-0.406435448904438
"43",1,"WALKING","meanfBodyAccelerometerMeanZ",-0.596411165253602
"44",1,"WALKING","meanfBodyAccelerometerStdevX",-0.553060616663401
"45",1,"WALKING","meanfBodyAccelerometerStdevY",-0.390150939647061
"46",1,"WALKING","meanfBodyAccelerometerStdevZ",-0.498583091676081
"47",1,"WALKING","meanfBodyAccelerometerJerkMeanX",-0.547348892435764
"48",1,"WALKING","meanfBodyAccelerometerJerkMeanY",-0.507343617969859
"49",1,"WALKING","meanfBodyAccelerometerJerkMeanZ",-0.695305113832853
"50",1,"WALKING","meanfBodyAccelerometerJerkStdevX",-0.543979776127867
"51",1,"WALKING","meanfBodyAccelerometerJerkStdevY",-0.466251676533372
"52",1,"WALKING","meanfBodyAccelerometerJerkStdevZ",-0.737861932680115
"53",1,"WALKING","meanfBodyGyroscopeMeanX",-0.623219182311527
"54",1,"WALKING","meanfBodyGyroscopeMeanY",-0.505309434070029
"55",1,"WALKING","meanfBodyGyroscopeMeanZ",-0.553529065425648
"56",1,"WALKING","meanfBodyGyroscopeStdevX",-0.708263420861671
"57",1,"WALKING","meanfBodyGyroscopeStdevY",-0.429825832648703
"58",1,"WALKING","meanfBodyGyroscopeStdevZ",-0.650476162132565
"59",1,"WALKING","meanfBodyAccelerometerMagnitudeMean",-0.478448523354179
"60",1,"WALKING","meanfBodyAccelerometerMagnitudeStdev",-0.589710231217867
"61",1,"WALKING","meanfBodyBodyAccelerometerJerkMagnitudeMean",-0.499075765624092
"62",1,"WALKING","meanfBodyBodyAccelerometerJerkMagnitudeStdev",-0.541823079570029
"63",1,"WALKING","meanfBodyBodyGyroscopeMagnitudeMean",-0.535002770337752
"64",1,"WALKING","meanfBodyBodyGyroscopeMagnitudeStdev",-0.566576670397695
"65",1,"WALKING","meanfBodyBodyGyroscopeJerkMagnitudeMean",-0.645970655298847
"66",1,"WALKING","meanfBodyBodyGyroscopeJerkMagnitudeStdev",-0.685811262634006
"67",2,"WALKING","meantBodyAccelerometerMeanX",0.273113115788079
"68",2,"WALKING","meantBodyAccelerometerMeanY",-0.0191323183174834
"69",2,"WALKING","meantBodyAccelerometerMeanZ",-0.115649958175497
"70",2,"WALKING","meantBodyAccelerometerStdevX",-0.605586497159271
"71",2,"WALKING","meantBodyAccelerometerStdevY",-0.428962986589404
"72",2,"WALKING","meantBodyAccelerometerStdevZ",-0.589360062210596
"73",2,"WALKING","meantGravityAccelerometerMeanX",0.660782866688742
"74",2,"WALKING","meantGravityAccelerometerMeanY",-0.147219886910411
"75",2,"WALKING","meantGravityAccelerometerMeanZ",0.134865335090728
"76",2,"WALKING","meantGravityAccelerometerStdevX",-0.963015508245033
"77",2,"WALKING","meantGravityAccelerometerStdevY",-0.960033560165563
"78",2,"WALKING","meantGravityAccelerometerStdevZ",-0.945365383907285
"79",2,"WALKING","meantBodyAccelerometerJerkMeanX",0.0785353156747351
"80",2,"WALKING","meantBodyAccelerometerJerkMeanY",0.00708771249764901
"81",2,"WALKING","meantBodyAccelerometerJerkMeanZ",0.000755760748377483
"82",2,"WALKING","meantBodyAccelerometerJerkStdevX",-0.557809603123841
"83",2,"WALKING","meantBodyAccelerometerJerkStdevY",-0.491875889831788
"84",2,"WALKING","meantBodyAccelerometerJerkStdevZ",-0.741885388311258
"85",2,"WALKING","meantBodyGyroscopeMeanX",-0.0517030657821192
"86",2,"WALKING","meantBodyGyroscopeMeanY",-0.0568420186817881
"87",2,"WALKING","meantBodyGyroscopeMeanZ",0.0872599422291391
"88",2,"WALKING","meantBodyGyroscopeStdevX",-0.710648927815894
"89",2,"WALKING","meantBodyGyroscopeStdevY",-0.722943674337748
"90",2,"WALKING","meantBodyGyroscopeStdevZ",-0.634888927843046
"91",2,"WALKING","meantBodyGyroscopeJerkMeanX",-0.0875587491668874
"92",2,"WALKING","meantBodyGyroscopeJerkMeanY",-0.0433986835453642
"93",2,"WALKING","meantBodyGyroscopeJerkMeanZ",-0.0557541828188742
"94",2,"WALKING","meantBodyGyroscopeJerkStdevX",-0.671679103311258
"95",2,"WALKING","meantBodyGyroscopeJerkStdevY",-0.783595466728477
"96",2,"WALKING","meantBodyGyroscopeJerkStdevZ",-0.674611933293046
"97",2,"WALKING","meantBodyAccelerometerMagnitudeMean",-0.535281800541722
"98",2,"WALKING","meantBodyAccelerometerMagnitudeStdev",-0.552812545643709
"99",2,"WALKING","meantGravityAccelerometerMagnitudeMean",-0.535281800541722
"100",2,"WALKING","meantGravityAccelerometerMagnitudeStdev",-0.552812545643709
"101",2,"WALKING","meantBodyAccelerometerJerkMagnitudeMean",-0.58777744543543
"102",2,"WALKING","meantBodyAccelerometerJerkMagnitudeStdev",-0.512115278415232
"103",2,"WALKING","meantBodyGyroscopeMagnitudeMean",-0.614771054893146
"104",2,"WALKING","meantBodyGyroscopeMagnitudeStdev",-0.680584887880795
"105",2,"WALKING","meantBodyGyroscopeJerkMagnitudeMean",-0.746559539039735
"106",2,"WALKING","meantBodyGyroscopeJerkMagnitudeStdev",-0.740088733655629
"107",2,"WALKING","meanfBodyAccelerometerMeanX",-0.57377091142947
"108",2,"WALKING","meanfBodyAccelerometerMeanY",-0.432566581302351
"109",2,"WALKING","meanfBodyAccelerometerMeanZ",-0.630081222124834
"110",2,"WALKING","meanfBodyAccelerometerStdevX",-0.619788102803311
"111",2,"WALKING","meanfBodyAccelerometerStdevY",-0.464723862913245
"112",2,"WALKING","meanfBodyAccelerometerStdevZ",-0.600678614835099
"113",2,"WALKING","meanfBodyAccelerometerJerkMeanX",-0.561682049622185
"114",2,"WALKING","meanfBodyAccelerometerJerkMeanY",-0.50890379901457
"115",2,"WALKING","meanfBodyAccelerometerJerkMeanZ",-0.715745330403973
"116",2,"WALKING","meanfBodyAccelerometerJerkStdevX",-0.595105612895033
"117",2,"WALKING","meanfBodyAccelerometerJerkStdevY",-0.509147543673841
"118",2,"WALKING","meanfBodyAccelerometerJerkStdevZ",-0.767087015496689
"119",2,"WALKING","meanfBodyGyroscopeMeanX",-0.638717694593046
"120",2,"WALKING","meanfBodyGyroscopeMeanY",-0.722068978635762
"121",2,"WALKING","meanfBodyGyroscopeMeanZ",-0.601594889654305
"122",2,"WALKING","meanfBodyGyroscopeStdevX",-0.734588540182119
"123",2,"WALKING","meanfBodyGyroscopeStdevY",-0.72716774102649
"124",2,"WALKING","meanfBodyGyroscopeStdevZ",-0.683114494539735
"125",2,"WALKING","meanfBodyAccelerometerMagnitudeMean",-0.514569861316887
"126",2,"WALKING","meanfBodyAccelerometerMagnitudeStdev",-0.646662308457285
"127",2,"WALKING","meanfBodyBodyAccelerometerJerkMagnitudeMean",-0.509746432970861
"128",2,"WALKING","meanfBodyBodyAccelerometerJerkMagnitudeStdev",-0.518800797709272
"129",2,"WALKING","meanfBodyBodyGyroscopeMagnitudeMean",-0.699742945221854
"130",2,"WALKING","meanfBodyBodyGyroscopeMagnitudeStdev",-0.725310337688742
"131",2,"WALKING","meanfBodyBodyGyroscopeJerkMagnitudeMean",-0.751615078360927
"132",2,"WALKING","meanfBodyBodyGyroscopeJerkMagnitudeStdev",-0.744194981440397
"133",3,"WALKING","meantBodyAccelerometerMeanX",0.273428719636364
"134",3,"WALKING","meantBodyAccelerometerMeanY",-0.017856067384956
"135",3,"WALKING","meantBodyAccelerometerMeanZ",-0.106492632429097
"136",3,"WALKING","meantBodyAccelerometerStdevX",-0.623413602046921
"137",3,"WALKING","meantBodyAccelerometerStdevY",-0.480015920697654
"138",3,"WALKING","meantBodyAccelerometerStdevZ",-0.653625579293255
"139",3,"WALKING","meantGravityAccelerometerMeanX",0.707814353343108
"140",3,"WALKING","meantGravityAccelerometerMeanY",-0.0260590480328739
"141",3,"WALKING","meantGravityAccelerometerMeanZ",0.0480937904190616
"142",3,"WALKING","meantGravityAccelerometerStdevX",-0.966457565630499
"143",3,"WALKING","meantGravityAccelerometerStdevY",-0.9445645371261
"144",3,"WALKING","meantGravityAccelerometerStdevZ",-0.926966278211144
"145",3,"WALKING","meantBodyAccelerometerJerkMeanX",0.0701731261988856
"146",3,"WALKING","meantBodyAccelerometerJerkMeanY",0.0144664329060411
"147",3,"WALKING","meantBodyAccelerometerJerkMeanZ",-0.000526818872875366
"148",3,"WALKING","meantBodyAccelerometerJerkStdevX",-0.635484688041056
"149",3,"WALKING","meantBodyAccelerometerJerkStdevY",-0.55721186773783
"150",3,"WALKING","meantBodyAccelerometerJerkStdevZ",-0.796066240234604
"151",3,"WALKING","meantBodyGyroscopeMeanX",-0.0248490682828446
"152",3,"WALKING","meantBodyGyroscopeMeanY",-0.0743565308442815
"153",3,"WALKING","meantBodyGyroscopeMeanZ",0.0866875497119062
"154",3,"WALKING","meantBodyGyroscopeStdevX",-0.699262195705865
"155",3,"WALKING","meantBodyGyroscopeStdevY",-0.76302218170088
"156",3,"WALKING","meantBodyGyroscopeStdevZ",-0.709483440322581
"157",3,"WALKING","meantBodyGyroscopeJerkMeanX",-0.0991554609633431
"158",3,"WALKING","meantBodyGyroscopeJerkMeanY",-0.0401923943695015
"159",3,"WALKING","meantBodyGyroscopeJerkMeanZ",-0.0521178264170088
"160",3,"WALKING","meantBodyGyroscopeJerkStdevX",-0.689328428607038
"161",3,"WALKING","meantBodyGyroscopeJerkStdevY",-0.842659862111437
"162",3,"WALKING","meantBodyGyroscopeJerkStdevZ",-0.743028500565982
"163",3,"WALKING","meantBodyAccelerometerMagnitudeMean",-0.563140802770059
"164",3,"WALKING","meantBodyAccelerometerMagnitudeStdev",-0.591224780306452
"165",3,"WALKING","meantGravityAccelerometerMagnitudeMean",-0.563140802770059
"166",3,"WALKING","meantGravityAccelerometerMagnitudeStdev",-0.591224780306452
"167",3,"WALKING","meantBodyAccelerometerJerkMagnitudeMean",-0.650182434328446
"168",3,"WALKING","meantBodyAccelerometerJerkMagnitudeStdev",-0.607658214170381
"169",3,"WALKING","meantBodyGyroscopeMagnitudeMean",-0.643150121648094
"170",3,"WALKING","meantBodyGyroscopeMagnitudeStdev",-0.674010290979472
"171",3,"WALKING","meantBodyGyroscopeJerkMagnitudeMean",-0.784056656246334
"172",3,"WALKING","meantBodyGyroscopeJerkMagnitudeStdev",-0.80366136372434
"173",3,"WALKING","meanfBodyAccelerometerMeanX",-0.625733289873607
"174",3,"WALKING","meanfBodyAccelerometerMeanY",-0.501779938505279
"175",3,"WALKING","meanfBodyAccelerometerMeanZ",-0.699656828592375
"176",3,"WALKING","meanfBodyAccelerometerStdevX",-0.623805015199413
"177",3,"WALKING","meanfBodyAccelerometerStdevY",-0.502753639795894
"178",3,"WALKING","meanfBodyAccelerometerStdevZ",-0.657443765803519
"179",3,"WALKING","meanfBodyAccelerometerJerkMeanX",-0.645893496630499
"180",3,"WALKING","meanfBodyAccelerometerJerkMeanY",-0.582949919157742
"181",3,"WALKING","meanfBodyAccelerometerJerkMeanZ",-0.780101644193548
"182",3,"WALKING","meanfBodyAccelerometerJerkStdevX",-0.657844055881525
"183",3,"WALKING","meanfBodyAccelerometerJerkStdevY",-0.559851186088408
"184",3,"WALKING","meanfBodyAccelerometerJerkStdevZ",-0.81080601659824
"185",3,"WALKING","meanfBodyGyroscopeMeanX",-0.642097719778592
"186",3,"WALKING","meanfBodyGyroscopeMeanY",-0.775144985073314
"187",3,"WALKING","meanfBodyGyroscopeMeanZ",-0.670734708996481
"188",3,"WALKING","meanfBodyGyroscopeStdevX",-0.719276622702346
"189",3,"WALKING","meanfBodyGyroscopeStdevY",-0.758505287214076
"190",3,"WALKING","meanfBodyGyroscopeStdevZ",-0.751008875659824
"191",3,"WALKING","meanfBodyAccelerometerMagnitudeMean",-0.579076453758064
"192",3,"WALKING","meanfBodyAccelerometerMagnitudeStdev",-0.663079838985044
"193",3,"WALKING","meanfBodyBodyAccelerometerJerkMagnitudeMean",-0.604752108072727
"194",3,"WALKING","meanfBodyBodyAccelerometerJerkMagnitudeStdev",-0.615643694857361
"195",3,"WALKING","meanfBodyBodyGyroscopeMagnitudeMean",-0.716822144279179
"196",3,"WALKING","meanfBodyBodyGyroscopeMagnitudeStdev",-0.703839403007038
"197",3,"WALKING","meanfBodyBodyGyroscopeJerkMagnitudeMean",-0.810085498651026
"198",3,"WALKING","meanfBodyBodyGyroscopeJerkMagnitudeStdev",-0.810032718739003
"199",4,"WALKING","meantBodyAccelerometerMeanX",0.277034464752577
"200",4,"WALKING","meantBodyAccelerometerMeanY",-0.0133496817746907
"201",4,"WALKING","meantBodyAccelerometerMeanZ",-0.105916135927835
"202",4,"WALKING","meantBodyAccelerometerStdevX",-0.68386446609433
"203",4,"WALKING","meantBodyAccelerometerStdevY",-0.589609330539691
"204",4,"WALKING","meantBodyAccelerometerStdevZ",-0.741959040257732
"205",4,"WALKING","meantGravityAccelerometerMeanX",0.731456509896907
"206",4,"WALKING","meantGravityAccelerometerMeanY",0.072347989306416
"207",4,"WALKING","meantGravityAccelerometerMeanZ",0.193993433768041
"208",4,"WALKING","meantGravityAccelerometerStdevX",-0.967576704329897
"209",4,"WALKING","meantGravityAccelerometerStdevY",-0.94170652321134
"210",4,"WALKING","meantGravityAccelerometerStdevZ",-0.936724233273196
"211",4,"WALKING","meantBodyAccelerometerJerkMeanX",0.0780162237953608
"212",4,"WALKING","meantBodyAccelerometerJerkMeanY",-0.0010311298138299
"213",4,"WALKING","meantBodyAccelerometerJerkMeanZ",-0.00737070069603093
"214",4,"WALKING","meantBodyAccelerometerJerkStdevX",-0.701066737438144
"215",4,"WALKING","meantBodyAccelerometerJerkStdevY",-0.670976701376289
"216",4,"WALKING","meantBodyAccelerometerJerkStdevZ",-0.859502524793814
"217",4,"WALKING","meantBodyGyroscopeMeanX",-0.0298726752979381
"218",4,"WALKING","meantBodyGyroscopeMeanY",-0.0750086556675258
"219",4,"WALKING","meantBodyGyroscopeMeanZ",0.0956607416628866
"220",4,"WALKING","meantBodyGyroscopeStdevX",-0.750915960835052
"221",4,"WALKING","meantBodyGyroscopeStdevY",-0.828888294742268
"222",4,"WALKING","meantBodyGyroscopeStdevZ",-0.745904225824742
"223",4,"WALKING","meantBodyGyroscopeJerkMeanX",-0.10509869233866
"224",4,"WALKING","meantBodyGyroscopeJerkMeanY",-0.0410624426912371
"225",4,"WALKING","meantBodyGyroscopeJerkMeanZ",-0.060866534304433
"226",4,"WALKING","meantBodyGyroscopeJerkStdevX",-0.778479585721649
"227",4,"WALKING","meantBodyGyroscopeJerkStdevY",-0.911436316752577
"228",4,"WALKING","meantBodyGyroscopeJerkStdevZ",-0.790578254329897
"229",4,"WALKING","meantBodyAccelerometerMagnitudeMean",-0.637532979814948
"230",4,"WALKING","meantBodyAccelerometerMagnitudeStdev",-0.670122122716495
"231",4,"WALKING","meantGravityAccelerometerMagnitudeMean",-0.637532979814948
"232",4,"WALKING","meantGravityAccelerometerMagnitudeStdev",-0.670122122716495
"233",4,"WALKING","meantBodyAccelerometerJerkMagnitudeMean",-0.72234055742268
"234",4,"WALKING","meantBodyAccelerometerJerkMagnitudeStdev",-0.71024608685567
"235",4,"WALKING","meantBodyGyroscopeMagnitudeMean",-0.708221087886598
"236",4,"WALKING","meantBodyGyroscopeMagnitudeStdev",-0.749105473365979
"237",4,"WALKING","meantBodyGyroscopeJerkMagnitudeMean",-0.849581355824742
"238",4,"WALKING","meantBodyGyroscopeJerkMagnitudeStdev",-0.870579517938144
"239",4,"WALKING","meanfBodyAccelerometerMeanX",-0.698994344226804
"240",4,"WALKING","meanfBodyAccelerometerMeanY",-0.610966605674742
"241",4,"WALKING","meanfBodyAccelerometerMeanZ",-0.784964119020619
"242",4,"WALKING","meanfBodyAccelerometerStdevX",-0.679316495457474
"243",4,"WALKING","meanfBodyAccelerometerStdevY",-0.60587907902268
"244",4,"WALKING","meanfBodyAccelerometerStdevZ",-0.739920171907216
"245",4,"WALKING","meanfBodyAccelerometerJerkMeanX",-0.717973724971649
"246",4,"WALKING","meanfBodyAccelerometerJerkMeanY",-0.684648403917526
"247",4,"WALKING","meanfBodyAccelerometerJerkMeanZ",-0.845383895412371
"248",4,"WALKING","meanfBodyAccelerometerJerkStdevX",-0.710952957814433
"249",4,"WALKING","meanfBodyAccelerometerJerkStdevY",-0.679116699128866
"250",4,"WALKING","meanfBodyAccelerometerJerkStdevZ",-0.872348615876289
"251",4,"WALKING","meanfBodyGyroscopeMeanX",-0.708097003278351
"252",4,"WALKING","meanfBodyGyroscopeMeanY",-0.851859241237113
"253",4,"WALKING","meanfBodyGyroscopeMeanZ",-0.723913683350515
"254",4,"WALKING","meanfBodyGyroscopeStdevX",-0.765931837365979
"255",4,"WALKING","meanfBodyGyroscopeStdevY",-0.818105282886598
"256",4,"WALKING","meanfBodyGyroscopeStdevZ",-0.778863649278351
"257",4,"WALKING","meanfBodyAccelerometerMagnitudeMean",-0.668273665958763
"258",4,"WALKING","meanfBodyAccelerometerMagnitudeStdev",-0.724979750463917
"259",4,"WALKING","meanfBodyBodyAccelerometerJerkMagnitudeMean",-0.702045896773196
"260",4,"WALKING","meanfBodyBodyAccelerometerJerkMagnitudeStdev",-0.723261097164948
"261",4,"WALKING","meanfBodyBodyGyroscopeMagnitudeMean",-0.785172936701031
"262",4,"WALKING","meanfBodyBodyGyroscopeMagnitudeStdev",-0.769330760360825
"263",4,"WALKING","meanfBodyBodyGyroscopeJerkMagnitudeMean",-0.86760194427835
"264",4,"WALKING","meanfBodyBodyGyroscopeJerkMagnitudeStdev",-0.884187806804124
"265",4,"WALKING_UPSTAIRS","meantBodyAccelerometerMeanX",0.269685855146341
"266",4,"WALKING_UPSTAIRS","meantBodyAccelerometerMeanY",-0.0171085099442602
"267",4,"WALKING_UPSTAIRS","meantBodyAccelerometerMeanZ",-0.110053359325203
"268",4,"WALKING_UPSTAIRS","meantBodyAccelerometerStdevX",-0.481157815330894
"269",4,"WALKING_UPSTAIRS","meantBodyAccelerometerStdevY",-0.384255322007236
"270",4,"WALKING_UPSTAIRS","meantBodyAccelerometerStdevZ",-0.658285719430894
"271",4,"WALKING_UPSTAIRS","meantGravityAccelerometerMeanX",0.667377493902439
"272",4,"WALKING_UPSTAIRS","meantGravityAccelerometerMeanY",0.176064219895122
"273",4,"WALKING_UPSTAIRS","meantGravityAccelerometerMeanZ",0.117030634772358
"274",4,"WALKING_UPSTAIRS","meantGravityAccelerometerStdevX",-0.954845868211382
"275",4,"WALKING_UPSTAIRS","meantGravityAccelerometerStdevY",-0.940959838617886
"276",4,"WALKING_UPSTAIRS","meantGravityAccelerometerStdevZ",-0.948783616341463
"277",4,"WALKING_UPSTAIRS","meantBodyAccelerometerJerkMeanX",0.080200587601626
"278",4,"WALKING_UPSTAIRS","meantBodyAccelerometerJerkMeanY",0.0106812194621382
"279",4,"WALKING_UPSTAIRS","meantBodyAccelerometerJerkMeanZ",-0.00737856315243902
"280",4,"WALKING_UPSTAIRS","meantBodyAccelerometerJerkStdevX",-0.522686832030976
"281",4,"WALKING_UPSTAIRS","meantBodyAccelerometerJerkStdevY",-0.446980128646341
"282",4,"WALKING_UPSTAIRS","meantBodyAccelerometerJerkStdevZ",-0.817881987560976
"283",4,"WALKING_UPSTAIRS","meantBodyGyroscopeMeanX",-0.027473566188374
"284",4,"WALKING_UPSTAIRS","meantBodyGyroscopeMeanY",-0.0845813729861789
"285",4,"WALKING_UPSTAIRS","meantBodyGyroscopeMeanZ",0.0958069867471545
"286",4,"WALKING_UPSTAIRS","meantBodyGyroscopeStdevX",-0.623295736308943
"287",4,"WALKING_UPSTAIRS","meantBodyGyroscopeStdevY",-0.749889456666667
"288",4,"WALKING_UPSTAIRS","meantBodyGyroscopeStdevZ",-0.695570737073171
"289",4,"WALKING_UPSTAIRS","meantBodyGyroscopeJerkMeanX",-0.112213469653659
"290",4,"WALKING_UPSTAIRS","meantBodyGyroscopeJerkMeanY",-0.0384344734528455
"291",4,"WALKING_UPSTAIRS","meantBodyGyroscopeJerkMeanZ",-0.0529863681443902
"292",4,"WALKING_UPSTAIRS","meantBodyGyroscopeJerkStdevX",-0.637528066829268
"293",4,"WALKING_UPSTAIRS","meantBodyGyroscopeJerkStdevY",-0.888412003333333
"294",4,"WALKING_UPSTAIRS","meantBodyGyroscopeJerkStdevZ",-0.681795418349593
"295",4,"WALKING_UPSTAIRS","meantBodyAccelerometerMagnitudeMean",-0.441789745892683
"296",4,"WALKING_UPSTAIRS","meantBodyAccelerometerMagnitudeStdev",-0.50629736504065
"297",4,"WALKING_UPSTAIRS","meantGravityAccelerometerMagnitudeMean",-0.441789745892683
"298",4,"WALKING_UPSTAIRS","meantGravityAccelerometerMagnitudeStdev",-0.50629736504065
"299",4,"WALKING_UPSTAIRS","meantBodyAccelerometerJerkMagnitudeMean",-0.551665062753089
"300",4,"WALKING_UPSTAIRS","meantBodyAccelerometerJerkMagnitudeStdev",-0.547890232756098
"301",4,"WALKING_UPSTAIRS","meantBodyGyroscopeMagnitudeMean",-0.574385249590244
"302",4,"WALKING_UPSTAIRS","meantBodyGyroscopeMagnitudeStdev",-0.639915777398374
"303",4,"WALKING_UPSTAIRS","meantBodyGyroscopeJerkMagnitudeMean",-0.771259192195122
"304",4,"WALKING_UPSTAIRS","meantBodyGyroscopeJerkMagnitudeStdev",-0.802559941951219
"305",4,"WALKING_UPSTAIRS","meanfBodyAccelerometerMeanX",-0.518103409715447
"306",4,"WALKING_UPSTAIRS","meanfBodyAccelerometerMeanY",-0.391561268041463
"307",4,"WALKING_UPSTAIRS","meanfBodyAccelerometerMeanZ",-0.708346275365854
"308",4,"WALKING_UPSTAIRS","meanfBodyAccelerometerStdevX",-0.468588371045528
"309",4,"WALKING_UPSTAIRS","meanfBodyAccelerometerStdevY",-0.422334649479756
"310",4,"WALKING_UPSTAIRS","meanfBodyAccelerometerStdevZ",-0.659623483821138
"311",4,"WALKING_UPSTAIRS","meanfBodyAccelerometerJerkMeanX",-0.548003358486179
"312",4,"WALKING_UPSTAIRS","meanfBodyAccelerometerJerkMeanY",-0.470861077819187
"313",4,"WALKING_UPSTAIRS","meanfBodyAccelerometerJerkMeanZ",-0.793248930406504
"314",4,"WALKING_UPSTAIRS","meanfBodyAccelerometerJerkStdevX",-0.540002452644715
"315",4,"WALKING_UPSTAIRS","meanfBodyAccelerometerJerkStdevY",-0.459377588636585
"316",4,"WALKING_UPSTAIRS","meanfBodyAccelerometerJerkStdevZ",-0.841927060081301
"317",4,"WALKING_UPSTAIRS","meanfBodyGyroscopeMeanX",-0.537445270313821
"318",4,"WALKING_UPSTAIRS","meanfBodyGyroscopeMeanY",-0.799459630325203
"319",4,"WALKING_UPSTAIRS","meanfBodyGyroscopeMeanZ",-0.634729117447154
"320",4,"WALKING_UPSTAIRS","meanfBodyGyroscopeStdevX",-0.652062731170732
"321",4,"WALKING_UPSTAIRS","meanfBodyGyroscopeStdevY",-0.727336206422764
"322",4,"WALKING_UPSTAIRS","meanfBodyGyroscopeStdevZ",-0.748519078617886
"323",4,"WALKING_UPSTAIRS","meanfBodyAccelerometerMagnitudeMean",-0.497723469494309
"324",4,"WALKING_UPSTAIRS","meanfBodyAccelerometerMagnitudeStdev",-0.590882542479675
"325",4,"WALKING_UPSTAIRS","meanfBodyBodyAccelerometerJerkMagnitudeMean",-0.529301794643089
"326",4,"WALKING_UPSTAIRS","meanfBodyBodyAccelerometerJerkMagnitudeStdev",-0.576991683357724
"327",4,"WALKING_UPSTAIRS","meanfBodyBodyGyroscopeMagnitudeMean",-0.683314955211382
"328",4,"WALKING_UPSTAIRS","meanfBodyBodyGyroscopeMagnitudeStdev",-0.674631635121951
"329",4,"WALKING_UPSTAIRS","meanfBodyBodyGyroscopeJerkMagnitudeMean",-0.793458132276423
"330",4,"WALKING_UPSTAIRS","meanfBodyBodyGyroscopeJerkMagnitudeStdev",-0.829831474634146
"331",5,"WALKING","meantBodyAccelerometerMeanX",0.279177960301325
"332",5,"WALKING","meantBodyAccelerometerMeanY",-0.0154833455336192
"333",5,"WALKING","meantBodyAccelerometerMeanZ",-0.105661736816887
"334",5,"WALKING","meantBodyAccelerometerStdevX",-0.507691011391722
"335",5,"WALKING","meantBodyAccelerometerStdevY",-0.402724906078146
"336",5,"WALKING","meantBodyAccelerometerStdevZ",-0.646443640175497
"337",5,"WALKING","meantGravityAccelerometerMeanX",0.698153719072848
"338",5,"WALKING","meantGravityAccelerometerMeanY",0.112313109736755
"339",5,"WALKING","meantGravityAccelerometerMeanZ",0.0921607197449904
"340",5,"WALKING","meantGravityAccelerometerStdevX",-0.964629108807947
